"Etunimi","Sukupuoli"
"Aliisia","nainen"
"Aliissa","nainen"
"Alika","nainen"
"Aliki","nainen"
"Alila","nainen"
"Alim","mies"
"Alima","nainen"
"Alin","mies"
"Alin","nainen"
"Alina","nainen"
"Alinda","nainen"
"Aline","nainen"
"Alinpoika","mies"
"Aliona","nainen"
"Alioune","mies"
"Alireza","mies"
"Alis","nainen"
"Alisa","nainen"
"Alise","nainen"
"Alisha","nainen"
"Alisi","nainen"
"Alisia","nainen"
"Alison","nainen"
"Alissa","nainen"
"Alissia","nainen"
"Alistair","mies"
"Alita","nainen"
"Alivia","nainen"
"Alix","mies"
"Alix","nainen"
"Aliya","nainen"
"Aliyah","nainen"
"Aliza","nainen"
"Alizée","nainen"
"Alizia","nainen"
"Alja","nainen"
"Alje","mies"
"Aljona","nainen"
"Alkarim","mies"
"Alku","mies"
"Alla","mies"
"Alla","nainen"
"Allah","mies"
"Allal","mies"
"Allan","mies"
"Alland","mies"
"Allani","mies"
"Allanti","mies"
"Allar","mies"
"Allari","mies"
"Allas","nainen"
"Allegra","nainen"
"Allen","mies"
"Allen","nainen"
"Alli","nainen"
"Alli-Maria","nainen"
"Allida","nainen"
"Allie","nainen"
"Alliina","nainen"
"Allikki","nainen"
"Allis","nainen"
"Allison","nainen"
"Allu","mies"
"Allu","nainen"
"Ally","nainen"
"Alma","nainen"
"Alma-Elina","nainen"
"Alma-Maria","nainen"
"Alma-Sofia","nainen"
"Almaas","nainen"
"Almar","mies"
"Almari","mies"
"Almas","nainen"
"Almaz","nainen"
"Almedina","nainen"
"Almer","mies"
"Almi","nainen"
"Almida","nainen"
"Almiina","nainen"
"Almiira","nainen"
"Almin","mies"
"Almina","nainen"
"Almir","mies"
"Almira","nainen"
